id,title,assignee,inventor,priority_date,filing_date,publication_date,grant_date,result_link,representative_figure_link
JP-2023036794-A,Script-based blockchain interaction ,,,26/05/2017,22/12/2022,14/03/2023,,https://patents.google.com/patent/JP2023036794A/en,https://patentimages.storage.googleapis.com/c0/99/73/451568c920894d/2023036794000022.png
JP-2022533770-A,A system or method for enforcing the right to be forgotten on a metadata-driven blockchain using shared secrets and read agreements ,,,22/05/2019,21/05/2020,25/07/2022,,https://patents.google.com/patent/JP2022533770A/en,https://patentimages.storage.googleapis.com/e5/78/a5/c52c4d7b007750/2022533770000006.png
JP-2022132450-A,"Blockchain-based personal data processing method, computer program, recording medium, and computer device ",,,03/07/2018,14/07/2022,08/09/2022,,https://patents.google.com/patent/JP2022132450A/en,https://patentimages.storage.googleapis.com/f0/cd/34/b9f426030d3ec1/2022132450000003.png
JP-2022514466-A,Systems and methods for providing cryptographically protected digital assets ,,,07/12/2018,09/12/2019,14/02/2022,,https://patents.google.com/patent/JP2022514466A/en,https://patentimages.storage.googleapis.com/3c/de/7a/fb156c3570a259/2022514466000002.png
JP-2021089640-A,Method for managing object and management server ,,,05/12/2019,05/12/2019,10/06/2021,,https://patents.google.com/patent/JP2021089640A/en,https://patentimages.storage.googleapis.com/89/6f/fa/bd3d9c7b0c5726/2021089640-3.png
JP-2019207729-A,Method and system for linking blockchain-based assets to fiat currency accounts ,,,21/05/2015,06/08/2019,05/12/2019,,https://patents.google.com/patent/JP2019207729A/en,
JP-2023089260-A,Methods and systems implemented by blockchain ,,,29/07/2016,21/04/2023,27/06/2023,,https://patents.google.com/patent/JP2023089260A/en,https://patentimages.storage.googleapis.com/b6/3b/70/78df2d928ec102/2023089260000002.png
JP-2022058653-A,Blockchain implemented method and system ,,,29/07/2016,19/01/2022,12/04/2022,,https://patents.google.com/patent/JP2022058653A/en,https://patentimages.storage.googleapis.com/ed/c1/b9/771f56f72234b3/2022058653000001.png
JP-2021507555-A,"Blockchain-based smart contract activation methods and devices, as well as electronic devices ",,,27/06/2018,27/06/2019,22/02/2021,,https://patents.google.com/patent/JP2021507555A/en,https://patentimages.storage.googleapis.com/67/8d/07/8fc601d3ac8a5a/2021507555-3.png
JP-2021512379-A,"Blockchain-based smart contract calling methods and devices, and electronic devices ",,,27/06/2018,27/06/2019,13/05/2021,,https://patents.google.com/patent/JP2021512379A/en,https://patentimages.storage.googleapis.com/66/ff/51/eae5de4e47ad8e/2021512379-3.png
JP-2022506460-A,Adaptive Intelligence and Shared Infrastructure Lending Transaction Enablement Platform ,,,29/10/2018,29/10/2019,17/01/2022,,https://patents.google.com/patent/JP2022506460A/en,https://patentimages.storage.googleapis.com/03/fb/4b/da22eeca04fe8a/2022506460000002.png
JP-2021507557-A,Cross blockchain authentication method and equipment ,,,03/04/2018,29/03/2019,22/02/2021,,https://patents.google.com/patent/JP2021507557A/en,https://patentimages.storage.googleapis.com/ea/59/c7/374f0bac21a7fb/2021507557-3.png
JP-2021504847-A,"Cross-blockchain interaction methods, devices, systems, and electronic devices ",,,03/04/2018,28/03/2019,15/02/2021,,https://patents.google.com/patent/JP2021504847A/en,https://patentimages.storage.googleapis.com/28/9a/0b/f258e65d50041a/2021504847-3.png
JP-2021520011-A,Exchange of digital assets ,,,30/03/2018,29/03/2019,12/08/2021,,https://patents.google.com/patent/JP2021520011A/en,https://patentimages.storage.googleapis.com/b9/78/0a/7b6acf93bdbae4/2021520011-3.png
JP-2020528224-A,Secure execution of smart contract operations in a reliable execution environment ,,,26/04/2019,26/04/2019,17/09/2020,,https://patents.google.com/patent/JP2020528224A/en,https://patentimages.storage.googleapis.com/eb/96/3c/81efc5e6bf25e2/2020528224-3.png
JP-2021518592-A,Secure decentralized video game trading platform ,,,14/03/2018,06/02/2019,02/08/2021,,https://patents.google.com/patent/JP2021518592A/en,https://patentimages.storage.googleapis.com/83/84/06/d4018eefed1d72/2021518592-3.png
JP-2022177273-A,Computer-implemented system and method providing decentralised protocol for recovery of cryptographic asset ,,,13/06/2017,29/09/2022,30/11/2022,,https://patents.google.com/patent/JP2022177273A/en,https://patentimages.storage.googleapis.com/a7/6d/30/24dc257dc0bac5/2022177273000011.png
JP-2020524825-A,Securing access to sensitive data using blockchain ledgers ,,,29/05/2018,18/04/2019,20/08/2020,,https://patents.google.com/patent/JP2020524825A/en,
JP-2021526249-A,Proxy agents and proxy ledgers on the blockchain ,,,06/06/2018,28/05/2019,30/09/2021,,https://patents.google.com/patent/JP2021526249A/en,https://patentimages.storage.googleapis.com/5c/47/19/f6cbf22101a583/2021526249-3.png
JP-2021507336-A,"Methods, devices, systems, and electronic devices for cross-blockchain interactions ",,,27/02/2018,26/02/2019,22/02/2021,,https://patents.google.com/patent/JP2021507336A/en,https://patentimages.storage.googleapis.com/81/0a/ea/bf97f87b686aef/2021507336-3.png
JP-2020519983-A,System and method for parallel processing blockchain transactions ,,,28/03/2019,28/03/2019,02/07/2020,,https://patents.google.com/patent/JP2020519983A/en,https://patentimages.storage.googleapis.com/0b/29/af/9c7489eb127014/2020519983-3.png
JP-2021103572-A,"Block chain-based data processing method, apparatus, device, storage medium, and program ",,,29/09/2020,25/03/2021,15/07/2021,,https://patents.google.com/patent/JP2021103572A/en,https://patentimages.storage.googleapis.com/01/43/ce/5fee75c8036f19/2021103572-3.png
JP-2020528222-A,Handling of transaction activities based on smart contracts in blockchain Caution Methods and devices for protecting data ,,,01/03/2019,01/03/2019,17/09/2020,,https://patents.google.com/patent/JP2020528222A/en,https://patentimages.storage.googleapis.com/48/ce/b0/611d358c443773/2020528222-3.png
JP-2020516968-A,"Blockchain-based service execution method and apparatus, and electronic device ",,,30/03/2018,26/03/2019,11/06/2020,,https://patents.google.com/patent/JP2020516968A/en,https://patentimages.storage.googleapis.com/59/9a/73/4715f5d52061ee/2020516968-3.png
JP-2021521556-A,Data backup methods and their computer programs and computing devices ,,,30/09/2018,26/09/2019,26/08/2021,,https://patents.google.com/patent/JP2021521556A/en,https://patentimages.storage.googleapis.com/42/bc/c2/435a98bdf450c0/2021521556-3.png
JP-2022048299-A,Securing blockchain transaction based on undetermined data ,,,10/04/2017,02/02/2022,25/03/2022,,https://patents.google.com/patent/JP2022048299A/en,https://patentimages.storage.googleapis.com/f5/bd/f3/d87df366213ee9/2022048299000003.png
JP-2019160312-A,"Blockchain node, method of blockchain node, and computer program for blockchain node ",,,06/03/2018,05/03/2019,19/09/2019,,https://patents.google.com/patent/JP2019160312A/en,https://patentimages.storage.googleapis.com/e3/72/ec/68e35e117ac0d5/2019160312-3.png
JP-2020525875-A,Processing blockchain data based on smart contract behavior executed in a trusted execution environment ,,,03/04/2019,03/04/2019,27/08/2020,,https://patents.google.com/patent/JP2020525875A/en,https://patentimages.storage.googleapis.com/ee/03/fc/4c8f96ddee67de/2020525875-3.png
JP-2021177650-A,Method and system for offline data transfer via machine-readable code ,,,24/03/2017,14/07/2021,11/11/2021,,https://patents.google.com/patent/JP2021177650A/en,https://patentimages.storage.googleapis.com/13/df/42/d818e1bab514be/2021177650-3.png
JP-2021523650-A,"Systems, methods, devices and terminals for secure blockchain transactions and subnetworks ",,,15/05/2018,27/03/2019,02/09/2021,,https://patents.google.com/patent/JP2021523650A/en,https://patentimages.storage.googleapis.com/14/00/bb/65480df100e202/2021523650-3.png
JP-2023103358-A,Secure provisioning and management of equipment ,,,14/11/2016,11/05/2023,26/07/2023,,https://patents.google.com/patent/JP2023103358A/en,https://patentimages.storage.googleapis.com/4b/0c/b5/522b8ae7682f93/2023103358000002.png
JP-2023078359-A,Concurrent state machine processing using blockchain ,,,29/08/2017,22/03/2023,06/06/2023,,https://patents.google.com/patent/JP2023078359A/en,https://patentimages.storage.googleapis.com/50/91/8a/5a3477a0658b9d/2023078359000002.png
JP-2023053051-A,Pseudo random number generation in block chain ,,,15/08/2017,08/02/2023,12/04/2023,,https://patents.google.com/patent/JP2023053051A/en,https://patentimages.storage.googleapis.com/e5/49/58/f883d7c2447ec7/2023053051000005.png
JP-2023029895-A,"System, methods and apparatus for embodying model with intelligent consent, smart consent, and weighting consent for distributed ledger technology in cloud-based computing environment ",,,31/01/2018,25/11/2022,07/03/2023,,https://patents.google.com/patent/JP2023029895A/en,https://patentimages.storage.googleapis.com/16/62/24/0ddc011656f664/2023029895000002.png
JP-2021168171-A,Method and system for recording multiple transactions on block chain ,,,24/03/2016,07/07/2021,21/10/2021,,https://patents.google.com/patent/JP2021168171A/en,https://patentimages.storage.googleapis.com/12/e8/d7/8a8eb3b416f960/2021168171-4.png
JP-2021528787-A,Blockchain-based personal data processing methods and systems ,,,03/07/2018,11/04/2019,21/10/2021,,https://patents.google.com/patent/JP2021528787A/en,https://patentimages.storage.googleapis.com/cb/26/86/70efe5155cb333/2021528787-4.png
JP-2021522710-A,Maintenance of blockchain blocks in a divided blockchain network ,,,27/04/2018,24/04/2019,30/08/2021,,https://patents.google.com/patent/JP2021522710A/en,https://patentimages.storage.googleapis.com/fd/4f/c8/ea5ac3f4acb8a2/2021522710-3.png
JP-2021522702-A,Blockchain network split ,,,27/04/2018,24/04/2019,30/08/2021,,https://patents.google.com/patent/JP2021522702A/en,https://patentimages.storage.googleapis.com/01/5b/69/261dca78def721/2021522702-3.png
JP-2022071122-A,System and method for implementing deterministic finite automaton (dfa) via blockchain ,,,28/10/2016,03/03/2022,13/05/2022,,https://patents.google.com/patent/JP2022071122A/en,https://patentimages.storage.googleapis.com/ce/78/f7/cf903f4c980812/2022071122000020.png
JP-2020525869-A,Blockchain-based merchandise tracking method and apparatus ,,,29/05/2018,29/05/2019,27/08/2020,,https://patents.google.com/patent/JP2020525869A/en,https://patentimages.storage.googleapis.com/c3/90/e9/6a30086a23b3da/2020525869-3.png
JP-3222165-U,System to realize universal distributed solution for user authentication by mutual authentication configuration ,,,26/10/2016,25/01/2017,18/07/2019,18/07/2019,https://patents.google.com/patent/JP3222165U/en,https://patentimages.storage.googleapis.com/7c/30/56/45a71cf8e31f18/0003222165-3.png
JP-2023068041-A,Blockchain-based universal tokenisation system ,,,23/02/2016,17/03/2023,16/05/2023,,https://patents.google.com/patent/JP2023068041A/en,https://patentimages.storage.googleapis.com/77/9c/ae/3fd503fa968e94/2023068041000011.png
JP-6511201-B1,Registry and Automated Management Method for Sophisticated Trading Enforced by Blockchain ,,,23/02/2016,16/02/2017,15/05/2019,15/05/2019,https://patents.google.com/patent/JP6511201B1/en,https://patentimages.storage.googleapis.com/46/d0/a6/09fe05ab31b8b4/0006511201-7.png
JP-2022137242-A,"Device, system, and method for facilitating value transfer between parties with little trust or no trust ",,,09/05/2014,15/07/2022,21/09/2022,,https://patents.google.com/patent/JP2022137242A/en,https://patentimages.storage.googleapis.com/bb/62/b3/10725b5ff64338/2022137242000030.png
JP-2022075949-A,Operating system for blockchain iot devices ,,,29/04/2016,24/03/2022,18/05/2022,,https://patents.google.com/patent/JP2022075949A/en,https://patentimages.storage.googleapis.com/51/51/02/b922b1040dac94/2022075949000004.png
JP-2023078372-A,Digital asset modeling ,,,29/04/2016,22/03/2023,06/06/2023,,https://patents.google.com/patent/JP2023078372A/en,https://patentimages.storage.googleapis.com/16/9d/f1/eb289878e8e768/2023078372000002.png
JP-2022106942-A,"Method, electronic device, and storage medium for avoiding or reducing cryptographically stranded resources on block chain network ",,,14/06/2017,10/05/2022,20/07/2022,,https://patents.google.com/patent/JP2022106942A/en,https://patentimages.storage.googleapis.com/12/90/bb/9e97d3538125be/2022106942000002.png
JP-2021184274-A,Method for secure peer-to-peer communication on blockchain ,,,11/04/2016,26/07/2021,02/12/2021,,https://patents.google.com/patent/JP2021184274A/en,https://patentimages.storage.googleapis.com/2c/32/f3/0df01c17b72241/2021184274-17.png
JP-2022003547-A,"Method and system for providing validated, auditable, and immutable inputs to smart contract ",,,28/12/2016,15/09/2021,11/01/2022,,https://patents.google.com/patent/JP2022003547A/en,https://patentimages.storage.googleapis.com/b7/b8/33/4dad47bcbdaa07/2022003547-3.png
JP-2022020685-A,Digital asset modeling ,,,29/04/2016,21/10/2021,01/02/2022,,https://patents.google.com/patent/JP2022020685A/en,https://patentimages.storage.googleapis.com/cf/36/e4/5faf141c678ed0/2022020685000002.png
JP-2021525931-A,Efficient verification for blockchain ,,,07/06/2018,23/05/2019,27/09/2021,,https://patents.google.com/patent/JP2021525931A/en,https://patentimages.storage.googleapis.com/ef/6f/40/251522d77cb76a/2021525931-3.png
JP-2021072130-A,Customized view of restricted information recorded in blockchain ,,,06/03/2018,03/12/2020,06/05/2021,,https://patents.google.com/patent/JP2021072130A/en,https://patentimages.storage.googleapis.com/86/b0/f1/2f62b839486cc6/2021072130-3.png
JP-2022141841-A,System and method for managing public software component ecosystem by using distributed ledger ,,,30/06/2017,20/07/2022,29/09/2022,,https://patents.google.com/patent/JP2022141841A/en,https://patentimages.storage.googleapis.com/6b/ba/20/f363d9d5b18a2c/2022141841000002.png
JP-2022136219-A,System and method for parallel verification of blockchain transaction ,,,08/05/2017,27/07/2022,15/09/2022,,https://patents.google.com/patent/JP2022136219A/en,https://patentimages.storage.googleapis.com/64/c7/ae/a6360f30ef3914/2022136219000003.png
JP-2022547130-A,Systems and methods for providing a blockchain-based process of record ,,,06/09/2019,05/09/2020,10/11/2022,,https://patents.google.com/patent/JP2022547130A/en,https://patentimages.storage.googleapis.com/1f/66/a2/3592d7cfdc6a72/2022547130000003.png
JP-2022141947-A,Computer-implemented system and method for time release encryption over blockchain network ,,,19/06/2017,28/07/2022,29/09/2022,,https://patents.google.com/patent/JP2022141947A/en,https://patentimages.storage.googleapis.com/73/38/b4/3396952b058ead/2022141947000004.png
JP-2021515338-A,Blockchain-based commercial inventory system and method ,,,06/03/2018,06/03/2020,17/06/2021,,https://patents.google.com/patent/JP2021515338A/en,https://patentimages.storage.googleapis.com/63/2d/da/24e11a033f94e5/2021515338-3.png
JP-2022514612-A,Fraud prevention cloud game blockchain ,,,20/12/2018,12/12/2019,14/02/2022,,https://patents.google.com/patent/JP2022514612A/en,https://patentimages.storage.googleapis.com/87/97/5a/98c01ca16afd16/2022514612000002.png
JP-2023018005-A,Block chain for general calculation ,,,09/06/2017,17/11/2022,07/02/2023,,https://patents.google.com/patent/JP2023018005A/en,https://patentimages.storage.googleapis.com/2c/8e/06/308bad569e9742/2023018005000005.png
JP-2021509189-A,Blockchain-based transaction processing methods and equipment ,,,29/05/2018,29/05/2019,18/03/2021,,https://patents.google.com/patent/JP2021509189A/en,https://patentimages.storage.googleapis.com/7b/36/8b/70c98b26faef78/2021509189-3.png
JP-2023075152-A,System for simplifying executable instructions for optimized verifiable computation ,,,09/11/2017,22/02/2023,30/05/2023,,https://patents.google.com/patent/JP2023075152A/en,https://patentimages.storage.googleapis.com/fc/3b/96/81b44f412f06ba/2023075152000022.png
JP-2021509751-A,Customized view of restricted information recorded on the blockchain ,,,06/03/2018,06/03/2019,01/04/2021,,https://patents.google.com/patent/JP2021509751A/en,https://patentimages.storage.googleapis.com/c4/0f/68/332cd804145590/2021509751-3.png
JP-2021511560-A,"Methods, devices, and electronic devices for performing transactions based on the blockchain ",,,27/02/2018,26/02/2019,06/05/2021,,https://patents.google.com/patent/JP2021511560A/en,https://patentimages.storage.googleapis.com/09/7f/a7/ef32e847efbb71/2021511560-3.png
JP-2022058749-A,Safe provisioning for device and management thereof ,,,14/11/2016,26/01/2022,12/04/2022,,https://patents.google.com/patent/JP2022058749A/en,https://patentimages.storage.googleapis.com/4f/3d/25/36709687a60414/2022058749000002.png
JP-2021519531-A,Document access to the blockchain network ,,,24/04/2018,04/04/2019,10/08/2021,,https://patents.google.com/patent/JP2021519531A/en,https://patentimages.storage.googleapis.com/d6/3b/5d/1c6fe5fe012fc7/2021519531-3.png
JP-2020080158-A,System and method for implementing deterministic finite automaton (dfa) through blockchain ,,,28/10/2016,10/01/2020,28/05/2020,,https://patents.google.com/patent/JP2020080158A/en,https://patentimages.storage.googleapis.com/30/57/15/76bd1a14a65dc2/2020080158-21.png
JP-2023052135-A,internet of things ,,,30/12/2016,27/12/2022,11/04/2023,,https://patents.google.com/patent/JP2023052135A/en,https://patentimages.storage.googleapis.com/5e/eb/0d/9d57dce67eb869/2023052135000022.png
JP-2020524826-A,"Method and apparatus for issuing and redeeming blockchain assets, and electronic device therefor ",,,29/05/2018,29/05/2019,20/08/2020,,https://patents.google.com/patent/JP2020524826A/en,https://patentimages.storage.googleapis.com/a3/d4/85/ed84c43ed299f3/2020524826-3.png
JP-6405478-B1,Distributed ledger device and distributed ledger method for adjustment of blockchain-based game difficulty ,,,16/01/2018,02/02/2018,17/10/2018,17/10/2018,https://patents.google.com/patent/JP6405478B1/en,
JP-2020115394-A,Method and system for processing blockchain-based transactions on existing payment networks ,,,21/05/2015,22/04/2020,30/07/2020,,https://patents.google.com/patent/JP2020115394A/en,https://patentimages.storage.googleapis.com/78/ee/86/f8a626a3e0220d/2020115394-3.png
JP-2023113804-A,Cryptographic methods and systems for secure extraction of data from blockchains ,,,23/02/2016,06/06/2023,16/08/2023,,https://patents.google.com/patent/JP2023113804A/en,https://patentimages.storage.googleapis.com/15/1b/f3/8fe7265ab09b08/2023113804000002.png
JP-2021522709-A,Blockchain network split ,,,27/04/2018,24/04/2019,30/08/2021,,https://patents.google.com/patent/JP2021522709A/en,https://patentimages.storage.googleapis.com/92/6d/6c/9f3303d2f2c6b7/2021522709-3.png
JP-2021512519-A,"Blockchain-based transaction processing methods and devices, as well as electronic devices ",,,29/05/2018,29/05/2019,13/05/2021,,https://patents.google.com/patent/JP2021512519A/en,https://patentimages.storage.googleapis.com/ca/7f/e1/1d46bbef5b2398/2021512519-3.png
JP-2021516917-A,Methods and devices for controlling data access privileges ,,,19/03/2018,21/02/2019,08/07/2021,,https://patents.google.com/patent/JP2021516917A/en,https://patentimages.storage.googleapis.com/3b/39/57/fc57832e996a06/2021516917-8.png
JP-2021533448-A,Systems and methods to support SQL-based rich queries in hyperlegger fabric blockchain ,,,27/07/2018,01/02/2019,02/12/2021,,https://patents.google.com/patent/JP2021533448A/en,https://patentimages.storage.googleapis.com/a6/ed/b3/f5a4a97acaa300/2021533448-6.png
JP-2023036962-A,System for recording verification key on blockchain ,,,09/11/2017,06/01/2023,14/03/2023,,https://patents.google.com/patent/JP2023036962A/en,https://patentimages.storage.googleapis.com/95/f6/57/8d17ac69a23bcf/2023036962000057.png
JP-2023052834-A,System for securing verification key from alternation and verifying validity of proof of correctness ,,,09/11/2017,02/02/2023,12/04/2023,,https://patents.google.com/patent/JP2023052834A/en,https://patentimages.storage.googleapis.com/f2/a0/f4/9ed5953dcb649b/2023052834000038.png
JP-2023062103-A,Enforcing injection of previous transaction bytecode into blockchain transaction ,,,22/05/2017,20/02/2023,02/05/2023,,https://patents.google.com/patent/JP2023062103A/en,https://patentimages.storage.googleapis.com/eb/44/7d/75ce211b3b01e1/2023062103000016.png
JP-2019215885-A,Method and system for gross settlement by use of opaque blockchain ,,,24/11/2015,23/07/2019,19/12/2019,,https://patents.google.com/patent/JP2019215885A/en,https://patentimages.storage.googleapis.com/88/7d/2e/22a1e302badc80/2019215885-3.png
JP-3220620-U,System to realize blockchain multi-factor personal identity authentication ,,,28/03/2016,29/03/2016,28/03/2019,28/03/2019,https://patents.google.com/patent/JP3220620U/en,https://patentimages.storage.googleapis.com/e5/19/79/52caa80cd4bc88/0003220620-3.png
JP-2022033913-A,Blockchain implemented method and system ,,,29/07/2016,06/12/2021,02/03/2022,,https://patents.google.com/patent/JP2022033913A/en,https://patentimages.storage.googleapis.com/1e/77/a5/efdba8681d0ddd/2022033913000027.png
JP-2022043178-A,Blockchain-implemented method and system ,,,29/07/2016,17/12/2021,15/03/2022,,https://patents.google.com/patent/JP2022043178A/en,https://patentimages.storage.googleapis.com/35/76/1b/4a684b828a91c5/2022043178000027.png
JP-2023036840-A,Blockchain-implemented method and system ,,,29/07/2016,26/12/2022,14/03/2023,,https://patents.google.com/patent/JP2023036840A/en,https://patentimages.storage.googleapis.com/61/c5/cd/faab6207243630/2023036840000027.png
JP-2020194578-A,Method and system for gross settlement by use of opaque blockchain ,,,24/11/2015,19/08/2020,03/12/2020,,https://patents.google.com/patent/JP2020194578A/en,https://patentimages.storage.googleapis.com/73/a4/c1/8cf699d38d659d/2020194578-3.png
JP-2023106528-A,Systems and methods for authenticating off-chain data based on proof verification ,,,15/12/2017,23/05/2023,01/08/2023,,https://patents.google.com/patent/JP2023106528A/en,https://patentimages.storage.googleapis.com/57/23/5f/9d488d0991c8fa/2023106528000014.png
JP-2022103306-A,Method for splitting blockchain-registered digital asset and autonomous computing agent ,,,25/10/2016,17/05/2022,07/07/2022,,https://patents.google.com/patent/JP2022103306A/en,https://patentimages.storage.googleapis.com/9c/51/13/1620d21ed21fe9/2022103306000012.png
JP-2021184283-A,Method and system for processing blockchain-based transactions on existing payment networks ,,,21/05/2015,04/08/2021,02/12/2021,,https://patents.google.com/patent/JP2021184283A/en,https://patentimages.storage.googleapis.com/68/8c/b0/f8aa143df4d86e/2021184283-3.png
JP-2023017844-A,System and method for supporting sql-based rich query in hyperledger fabric blockchain ,,,27/07/2018,27/10/2022,07/02/2023,,https://patents.google.com/patent/JP2023017844A/en,https://patentimages.storage.googleapis.com/e5/51/ba/5d050c7bab28aa/2023017844000005.png
JP-2022044677-A,Rapid distributed consensus on blockchain ,,,11/04/2017,18/01/2022,17/03/2022,,https://patents.google.com/patent/JP2022044677A/en,https://patentimages.storage.googleapis.com/c3/98/29/4ee061f50e1a67/2022044677000002.png
JP-2023072055-A,Methods and systems for efficient transfer of entities on blockchain ,,,23/02/2016,15/03/2023,23/05/2023,,https://patents.google.com/patent/JP2023072055A/en,https://patentimages.storage.googleapis.com/01/a6/58/7f7b7839689e2f/2023072055000005.png
JP-2022123070-A,Blockchain-implemented method and system ,,,29/07/2016,17/06/2022,23/08/2022,,https://patents.google.com/patent/JP2022123070A/en,https://patentimages.storage.googleapis.com/25/c1/8e/4c5bcf5286743c/2022123070000007.png
JP-2021518705-A,Runtime self-modification for blockchain ledger ,,,27/03/2018,08/03/2019,02/08/2021,,https://patents.google.com/patent/JP2021518705A/en,https://patentimages.storage.googleapis.com/7b/87/61/7182db161bc3b0/2021518705-3.png
JP-2022533882-A,"Data processing method, device, program and computer device in blockchain network ",,,12/09/2019,04/09/2020,27/07/2022,,https://patents.google.com/patent/JP2022533882A/en,https://patentimages.storage.googleapis.com/18/b9/1a/57c397f6b71919/2022533882000002.png
