id,title,assignee,inventor,priority_date,filing_date,publication_date,grant_date,result_link,representative_figure_link
CN-110019534-B,Method and system for distributed ledgers for freight systems ,,,11/09/2017,10/08/2018,02/06/2023,02/06/2023,https://patents.google.com/patent/CN110019534B/en,https://patentimages.storage.googleapis.com/c3/46/e0/0109c82677c0d8/HDA0001761844150000011.png
CN-109447648-B,"Method, accounting node and medium for recording data blocks in a blockchain network ",,,07/12/2018,07/12/2018,04/07/2023,04/07/2023,https://patents.google.com/patent/CN109447648B/en,https://patentimages.storage.googleapis.com/e5/3d/40/30145f33aca959/HDA0001896862130000011.png
CN-110677485-B,Dynamic layered Byzantine fault-tolerant consensus method based on credit ,,,30/09/2019,30/09/2019,13/11/2020,13/11/2020,https://patents.google.com/patent/CN110677485B/en,https://patentimages.storage.googleapis.com/95/5f/94/a248db1b9d458c/HDA0002222141490000011.png
CN-110933953-B,Systems and methods for extending blockchain utility through use of related sub-blockchains ,,,05/05/2017,04/07/2018,13/06/2023,13/06/2023,https://patents.google.com/patent/CN110933953B/en,https://patentimages.storage.googleapis.com/e1/aa/b9/fe799932b28ead/HDA0002251684680000011.png
CN-111566649-B,Verifying integrity of data stored in a federated blockchain using public side chains ,,,21/12/2018,21/12/2018,27/06/2023,27/06/2023,https://patents.google.com/patent/CN111566649B/en,https://patentimages.storage.googleapis.com/25/bd/b4/16aa42c1ea8acd/HDA0002082583490000011.png
CN-108961047-B,Method and system for data transaction between vehicle and entity using blockchain database ,,,25/05/2017,15/05/2018,02/08/2022,02/08/2022,https://patents.google.com/patent/CN108961047B/en,https://patentimages.storage.googleapis.com/ec/06/39/d893a63e95f9f4/625073.png
CN-108600301-B,Cross-link method between block chains and main block chain ,,,08/03/2018,08/03/2018,18/05/2021,18/05/2021,https://patents.google.com/patent/CN108600301B/en,https://patentimages.storage.googleapis.com/ea/2f/ad/681e4883ec9c86/HDA0001591755020000011.png
CN-110546636-B,Confidentiality in federated blockchain networks ,,,25/04/2017,07/04/2018,08/08/2023,08/08/2023,https://patents.google.com/patent/CN110546636B/en,
CN-110875821-B,Cryptography blockchain interoperation ,,,29/08/2018,28/08/2019,24/03/2023,24/03/2023,https://patents.google.com/patent/CN110875821B/en,https://patentimages.storage.googleapis.com/40/73/fd/1941f0dfaf3c2b/HDA0002182460380000011.png
CN-110537195-B,Method for permitting card use and server using same ,,,18/04/2017,18/04/2018,20/06/2023,20/06/2023,https://patents.google.com/patent/CN110537195B/en,https://patentimages.storage.googleapis.com/ca/f1/63/fde8f5e2969e26/HDA0002235807340000011.png
CN-110619592-B,Embedding blockchain information in digital images ,,,18/06/2018,20/05/2019,18/07/2023,18/07/2023,https://patents.google.com/patent/CN110619592B/en,
CN-110268691-B,Federated blockchain networks with verified blockchain and consensus protocols ,,,07/02/2017,31/01/2018,15/10/2021,15/10/2021,https://patents.google.com/patent/CN110268691B/en,https://patentimages.storage.googleapis.com/0f/9d/78/6de96772b2cc15/HDA0002157732990000011.png
CN-109767199-B,PBFT consensus system and method based on reputation and blockchain data processing system ,,,10/12/2018,10/12/2018,16/06/2023,16/06/2023,https://patents.google.com/patent/CN109767199B/en,https://patentimages.storage.googleapis.com/22/75/08/32d412fd37303c/HDA0001899173790000011.png
CN-110462621-B,Managing sensitive data elements in a blockchain network ,,,29/03/2019,29/03/2019,04/07/2023,04/07/2023,https://patents.google.com/patent/CN110462621B/en,https://patentimages.storage.googleapis.com/0f/59/4e/dbc03d5cea8b03/HDA0002189140970000011.png
CN-111771194-B,System and method for generating and maintaining a non-variable digital conference record within a distributed network node ,,,18/12/2017,19/12/2017,28/07/2023,28/07/2023,https://patents.google.com/patent/CN111771194B/en,
CN-110073353-B,Container-based operating system and method ,,,14/12/2016,07/12/2017,16/05/2023,16/05/2023,https://patents.google.com/patent/CN110073353B/en,https://patentimages.storage.googleapis.com/b3/bc/e1/3365a788bd1f88/HDA0002093266300000011.png
CN-108959945-B,"Medical data sharing method and device, computer readable medium and electronic equipment ",,,06/07/2018,06/07/2018,05/05/2020,05/05/2020,https://patents.google.com/patent/CN108959945B/en,https://patentimages.storage.googleapis.com/65/00/e8/05a852198805d7/HDA0001721934810000011.png
CN-110268677-B,Cross-chain interaction using domain name scheme in blockchain system ,,,16/11/2018,16/11/2018,06/09/2022,06/09/2022,https://patents.google.com/patent/CN110268677B/en,https://patentimages.storage.googleapis.com/0b/48/93/93d8a5d02002b9/HDA0002125494460000011.png
CN-108833115-B,Multi-party fair PDF (Portable document Format) contract signing method based on block chain ,,,15/06/2018,15/06/2018,26/01/2021,26/01/2021,https://patents.google.com/patent/CN108833115B/en,https://patentimages.storage.googleapis.com/0c/3e/0d/f6f35b3ad5cdfb/HDA0001697851250000011.png
CN-109426949-B,Cross-chain transaction method and device ,,,29/08/2017,29/08/2017,09/02/2021,09/02/2021,https://patents.google.com/patent/CN109426949B/en,https://patentimages.storage.googleapis.com/6f/e5/8e/9bee122e39a063/HDA0001392280670000011.png
CN-108694668-B,"Digital asset transaction method, device, medium and equipment ",,,15/06/2018,15/06/2018,14/07/2023,14/07/2023,https://patents.google.com/patent/CN108694668B/en,https://patentimages.storage.googleapis.com/93/72/0e/72045cdf5ef737/HDA0004269282090000011.png
CN-110582747-B,Method and system for forming blockchains for open scientific research ,,,05/05/2017,12/12/2017,27/06/2023,27/06/2023,https://patents.google.com/patent/CN110582747B/en,https://patentimages.storage.googleapis.com/a8/49/bf/7c94fbdb8e1625/HDA0002260105620000011.png
CN-108648071-B,Resource value evaluation method and device based on block chain ,,,17/05/2018,17/05/2018,19/05/2020,19/05/2020,https://patents.google.com/patent/CN108648071B/en,https://patentimages.storage.googleapis.com/47/ff/d1/ce5e195b43ac05/HDA0001664611290000011.png
CN-107679857-B,Block chain cross-chain transaction method and storage medium ,,,10/10/2017,10/10/2017,27/04/2021,27/04/2021,https://patents.google.com/patent/CN107679857B/en,https://patentimages.storage.googleapis.com/d3/44/37/b9bf8de28daf60/HDA0001429618770000011.png
CN-112491551-B,Data verification method and device based on block chain and electronic equipment ,,,29/06/2018,29/06/2018,20/01/2023,20/01/2023,https://patents.google.com/patent/CN112491551B/en,https://patentimages.storage.googleapis.com/fe/de/d0/cbf4253d6845b1/HDA0002768392060000011.png
CN-109067541-B,Data verification method and device based on block chain and electronic equipment ,,,29/06/2018,29/06/2018,22/09/2020,22/09/2020,https://patents.google.com/patent/CN109067541B/en,https://patentimages.storage.googleapis.com/79/ed/9e/fdae99aceb2444/HDA0001717009110000011.png
CN-107392608-B,Block chain system-based digital asset transaction method and block chain system ,,,11/07/2017,11/07/2017,07/07/2020,07/07/2020,https://patents.google.com/patent/CN107392608B/en,https://patentimages.storage.googleapis.com/93/fa/71/d9d969a8a1563b/HDA0001347213180000011.png
CN-109863719-B,Method and system for controlling transfer through block chain ,,,25/10/2016,24/10/2017,26/08/2022,26/08/2022,https://patents.google.com/patent/CN109863719B/en,https://patentimages.storage.googleapis.com/30/d3/c4/9c03c85125b819/HDA0002039145800000011.png
CN-111181968-B,"Cross-block chain communication method and device, cross-chain service system and cross-chain transaction system ",,,30/12/2019,30/12/2019,21/09/2021,21/09/2021,https://patents.google.com/patent/CN111181968B/en,https://patentimages.storage.googleapis.com/e3/2b/cf/814d9f29fe7c59/HDA0002348095260000011.png
CN-107147735-B,Distributed account book system based on hierarchical structure ,,,12/05/2017,06/06/2017,11/08/2020,11/08/2020,https://patents.google.com/patent/CN107147735B/en,https://patentimages.storage.googleapis.com/bf/5c/15/35830b32b251a1/HDA0001314670080000011.png
CN-107424066-B,Method and system for establishing consensus mechanism based on value quantity ,,,19/07/2017,19/07/2017,10/11/2020,10/11/2020,https://patents.google.com/patent/CN107424066B/en,https://patentimages.storage.googleapis.com/3d/51/65/34172a2555e0e3/HDA0001354049880000011.png
CN-107798650-B,Digital asset infringement judgment method and device based on block chain ,,,18/09/2017,18/09/2017,11/08/2020,11/08/2020,https://patents.google.com/patent/CN107798650B/en,https://patentimages.storage.googleapis.com/23/52/95/87fafe0d89ba00/HDA0001411285260000011.png
CN-107231351-B,Electronic certificate management method and related equipment ,,,25/05/2017,25/05/2017,08/01/2021,08/01/2021,https://patents.google.com/patent/CN107231351B/en,https://patentimages.storage.googleapis.com/16/77/a7/a87f7b424c8790/HDA0001305224390000011.png
CN-110036613-B,System and method for providing identity authentication for decentralized applications ,,,08/09/2016,06/09/2017,10/06/2022,10/06/2022,https://patents.google.com/patent/CN110036613B/en,https://patentimages.storage.googleapis.com/2f/43/64/41a5a7532f4fd5/HDA0001989245240000011.png
CN-108323232-B,Method for maintaining index and chain topological structure between multi-level block chain systems ,,,16/05/2017,16/05/2017,24/01/2020,24/01/2020,https://patents.google.com/patent/CN108323232B/en,https://patentimages.storage.googleapis.com/50/0a/2c/e0bafe695a7c16/HDA0001617112090000011.png
CN-109791671-B,Method and system for realizing block chain ,,,29/07/2016,21/07/2017,02/12/2022,02/12/2022,https://patents.google.com/patent/CN109791671B/en,https://patentimages.storage.googleapis.com/1b/5b/7c/435d85973094e8/HDA0003802828020000011.png
CN-112287029-B,Block chain multi-chain cross-chain system and implementation mechanism thereof ,,,17/11/2020,17/11/2020,16/05/2023,16/05/2023,https://patents.google.com/patent/CN112287029B/en,https://patentimages.storage.googleapis.com/b6/28/7a/872b0bea5b82d9/HDA0002781484870000011.png
CN-107358420-B,Block chain system for realizing hot spot account and method for realizing hot spot account ,,,09/06/2017,09/06/2017,11/08/2020,11/08/2020,https://patents.google.com/patent/CN107358420B/en,https://patentimages.storage.googleapis.com/67/f0/fb/a7f00948700d99/HDA0001317646220000011.png
CN-109165945-B,"Representative node device election method and device, computer device and storage medium ",,,07/09/2018,07/09/2018,16/04/2021,16/04/2021,https://patents.google.com/patent/CN109165945B/en,https://patentimages.storage.googleapis.com/38/94/7d/c464eed6265629/HDA0001793370410000011.png
CN-110520882-B,Parallel execution of transactions in a blockchain network ,,,28/12/2018,28/12/2018,14/07/2023,14/07/2023,https://patents.google.com/patent/CN110520882B/en,https://patentimages.storage.googleapis.com/ea/62/7f/4784db0930a39d/HDA0002109534910000011.png
CN-110868439-B,Block chain system ,,,28/08/2018,07/12/2018,28/05/2021,28/05/2021,https://patents.google.com/patent/CN110868439B/en,https://patentimages.storage.googleapis.com/bf/c5/bb/c4893e795aff9b/HDA0001897109420000011.png
CN-108460687-B,Execution of hardware blockchain consensus operational procedure ,,,17/02/2017,13/07/2017,01/08/2023,01/08/2023,https://patents.google.com/patent/CN108460687B/en,
CN-109313685-B,Encryption application of block chain system ,,,06/06/2016,01/06/2017,08/06/2021,08/06/2021,https://patents.google.com/patent/CN109313685B/en,https://patentimages.storage.googleapis.com/e1/4a/97/0f1bc9cc858160/HDA0001893844940000011.png
CN-107341660-B,Block chain bottom layer consensus mechanism and block chain system based on same ,,,27/05/2017,27/05/2017,29/06/2021,29/06/2021,https://patents.google.com/patent/CN107341660B/en,https://patentimages.storage.googleapis.com/26/e7/8d/05248a7fc2a58b/HDA0001307742580000011.png
CN-107273759-B,"Method, apparatus, and computer-readable storage medium for protecting blockchain data ",,,08/05/2017,08/05/2017,14/07/2020,14/07/2020,https://patents.google.com/patent/CN107273759B/en,https://patentimages.storage.googleapis.com/b8/76/b1/420944cfcab581/HDA0001289268370000011.png
CN-110603554-B,Method and system for offline data transfer via machine-readable code ,,,24/03/2017,27/02/2018,04/04/2023,04/04/2023,https://patents.google.com/patent/CN110603554B/en,https://patentimages.storage.googleapis.com/08/ec/57/c670218e21baae/HDA0002254709270000011.png
CN-108154366-B,Cross-chain digital asset transfer method and terminal equipment ,,,25/12/2017,25/12/2017,14/09/2021,14/09/2021,https://patents.google.com/patent/CN108154366B/en,https://patentimages.storage.googleapis.com/b8/19/3d/bfb05eb7c53531/HDA0001523331890000011.png
CN-110622464-B,Asymmetric key management in federated blockchain networks ,,,27/11/2018,27/11/2018,26/07/2022,26/07/2022,https://patents.google.com/patent/CN110622464B/en,https://patentimages.storage.googleapis.com/fa/42/88/0626a74036f446/HDA0002032047540000011.png
CN-110311790-B,Method and device for sending authenticable message in cross-link mode ,,,28/06/2019,28/06/2019,28/07/2020,28/07/2020,https://patents.google.com/patent/CN110311790B/en,https://patentimages.storage.googleapis.com/05/77/90/f8998374c58c3f/HDA0002112817560000011.png
CN-113766035-B,Service acceptance and consensus method and device ,,,28/03/2017,28/03/2017,23/05/2023,23/05/2023,https://patents.google.com/patent/CN113766035B/en,https://patentimages.storage.googleapis.com/b2/50/e7/1ba48e58a61cca/HDA0003275397980000011.png
CN-108805561-B,Method and system for executing intelligent contract capable of accessing multiple blockchains ,,,27/04/2017,28/06/2017,02/06/2023,02/06/2023,https://patents.google.com/patent/CN108805561B/en,https://patentimages.storage.googleapis.com/4a/ca/67/6baafee10a1782/HDA0001334548720000011.png
CN-106815764-B,Digital asset management method and system based on alliance chain ,,,18/01/2017,18/01/2017,08/12/2020,08/12/2020,https://patents.google.com/patent/CN106815764B/en,https://patentimages.storage.googleapis.com/c0/a0/2c/6c8791b118db10/HDA0001212237620000011.png
CN-107819829-B,"Method and system for accessing block chain, block chain node point equipment and user terminal ",,,17/10/2017,17/10/2017,07/07/2020,07/07/2020,https://patents.google.com/patent/CN107819829B/en,https://patentimages.storage.googleapis.com/e3/b9/72/ac7c78b5d8e6f3/HDA0001436114240000011.png
CN-109314642-B,Counting system and method for secure voting and distribution implemented with blockchain ,,,23/02/2016,14/02/2017,12/04/2022,12/04/2022,https://patents.google.com/patent/CN109314642B/en,https://patentimages.storage.googleapis.com/95/ec/f7/397be6b8bf5616/HDA0001750483980000011.png
CN-109074563-B,Agent-based graph-based transaction-intensive integrated feedback within blockchain systems ,,,23/02/2016,14/02/2017,19/04/2022,19/04/2022,https://patents.google.com/patent/CN109074563B/en,https://patentimages.storage.googleapis.com/10/52/bf/fbb306e7014c44/HDA0001746856320000011.png
CN-109155036-B,System and method for controlling asset-related actions via blockchain ,,,23/02/2016,14/02/2017,23/05/2023,23/05/2023,https://patents.google.com/patent/CN109155036B/en,https://patentimages.storage.googleapis.com/07/05/3f/0b87c3c8817cb4/HDA0004065003310000011.png
CN-108885741-B,Tokenization method and system for realizing exchange on block chain ,,,23/02/2016,14/02/2017,16/05/2023,16/05/2023,https://patents.google.com/patent/CN108885741B/en,https://patentimages.storage.googleapis.com/06/ce/70/cdcd9843863ce8/HDA0004045033130000011.png
CN-109479005-B,Method and system for realizing block chain ,,,29/07/2016,21/07/2017,29/04/2022,29/04/2022,https://patents.google.com/patent/CN109479005B/en,https://patentimages.storage.googleapis.com/ee/40/04/18e6c200574c4f/HDA0001939504440000011.png
CN-108780390-B,System and method for providing identity scores ,,,06/06/2016,14/02/2017,27/09/2022,27/09/2022,https://patents.google.com/patent/CN108780390B/en,https://patentimages.storage.googleapis.com/ab/39/68/1145ed80a869cc/HDA0001801965350000011.png
CN-109314637-B,Method and apparatus for efficient transfer of cryptocurrency over a blockchain ,,,23/02/2016,16/02/2017,10/09/2021,10/09/2021,https://patents.google.com/patent/CN109314637B/en,https://patentimages.storage.googleapis.com/c2/bd/60/7ceca61eb27fc5/HDA0001751103300000011.png
CN-109872149-B,Method and system for using trustworthiness of digital certificates ,,,04/12/2017,03/12/2018,02/05/2023,02/05/2023,https://patents.google.com/patent/CN109872149B/en,https://patentimages.storage.googleapis.com/a2/59/f0/5d8c30309021c3/HDA0001889303310000011.png
CN-106559211-B,Privacy protection intelligent contract method in block chain ,,,22/11/2016,22/11/2016,13/12/2019,13/12/2019,https://patents.google.com/patent/CN106559211B/en,
CN-108352009-B,"Block chain generation device, block chain generation method, block chain verification device, block chain verification method, and computer-readable storage medium ",,,09/11/2015,08/11/2016,11/12/2020,11/12/2020,https://patents.google.com/patent/CN108352009B/en,https://patentimages.storage.googleapis.com/e7/92/bd/b334ff07764490/HDA0001654842560000011.png
CN-108781161-B,Method for controlling and distributing blockchain implementation of digital content ,,,23/02/2016,21/02/2017,20/08/2021,20/08/2021,https://patents.google.com/patent/CN108781161B/en,https://patentimages.storage.googleapis.com/aa/c4/70/ea338dfbf596b8/HDA0001785102960000011.png
CN-106780025-B,"Method, device and system for transferring digital assets in block chain ",,,30/11/2016,30/11/2016,02/03/2021,02/03/2021,https://patents.google.com/patent/CN106780025B/en,https://patentimages.storage.googleapis.com/85/02/c2/b47169c9ade19b/HDA0001166668220000011.png
CN-109615383-B,Data storage and acquisition method and device based on block chain ,,,26/10/2018,26/10/2018,16/03/2021,16/03/2021,https://patents.google.com/patent/CN109615383B/en,https://patentimages.storage.googleapis.com/ea/80/96/d9ec7a12982f1d/HDA0001843860550000011.png
CN-112335214-B,Intelligent contract interpreter ,,,22/08/2018,22/08/2019,02/06/2023,02/06/2023,https://patents.google.com/patent/CN112335214B/en,https://patentimages.storage.googleapis.com/8d/71/0c/083d10fb045f74/HDA0002837057980000011.png
CN-110326252-B,Secure provisioning and management of devices ,,,14/11/2016,14/11/2017,17/05/2022,17/05/2022,https://patents.google.com/patent/CN110326252B/en,https://patentimages.storage.googleapis.com/75/8d/11/f40030c6e33497/201530.png
CN-108648078-B,Transaction preprocessing method and device and electronic equipment ,,,02/05/2018,02/05/2018,23/03/2021,23/03/2021,https://patents.google.com/patent/CN108648078B/en,https://patentimages.storage.googleapis.com/33/ed/24/aafc0134ba8be9/HDA0001647297410000011.png
CN-108370318-B,Method and system for blockchain variants using digital signatures ,,,21/12/2015,14/12/2016,21/08/2020,21/08/2020,https://patents.google.com/patent/CN108370318B/en,https://patentimages.storage.googleapis.com/3b/46/33/e469cab0e7ccb0/HDA0001687771570000011.png
CN-107493273-B,"Identity authentication method, system and computer readable storage medium ",,,02/08/2017,02/08/2017,16/10/2020,16/10/2020,https://patents.google.com/patent/CN107493273B/en,https://patentimages.storage.googleapis.com/4d/97/ae/0b9d31f3e3211e/HDA0001368646390000011.png
CN-109242685-B,Block chain-based consensus and verification method and device ,,,29/08/2018,29/08/2018,12/05/2020,12/05/2020,https://patents.google.com/patent/CN109242685B/en,https://patentimages.storage.googleapis.com/a4/74/8e/70f14b46572a51/HDA0001781372810000011.png
CN-109089428-B,Zero custody transfer of digital assets ,,,30/11/2015,30/11/2016,25/03/2022,25/03/2022,https://patents.google.com/patent/CN109089428B/en,https://patentimages.storage.googleapis.com/5d/21/3a/5cf299988cf019/HDA0001747908950000011.png
CN-109716375-B,"Block chain account processing method, device and storage medium ",,,27/07/2018,27/07/2018,23/06/2023,23/06/2023,https://patents.google.com/patent/CN109716375B/en,https://patentimages.storage.googleapis.com/0d/e0/20/b1946a90a0822a/HDA0001886668400000011.png
CN-109102287-B,"Block chain accounting method, device, equipment and storage medium ",,,13/08/2018,13/08/2018,07/09/2021,07/09/2021,https://patents.google.com/patent/CN109102287B/en,https://patentimages.storage.googleapis.com/90/21/d0/bf60baea4c2ad1/HDA0001763218890000011.png
CN-109564740-B,Block chain-based security threat detection method and system ,,,16/08/2016,13/07/2017,19/07/2022,19/07/2022,https://patents.google.com/patent/CN109564740B/en,https://patentimages.storage.googleapis.com/5e/a5/cb/c350def188c96d/HDA0003329182130000011.png
CN-109074562-B,Combined data transmission control method and system based on block chain ,,,23/02/2016,21/02/2017,25/07/2023,25/07/2023,https://patents.google.com/patent/CN109074562B/en,
CN-107078910-B,"Method, device, node, signature device and system for generating block chain block ",,,23/12/2016,23/12/2016,05/02/2021,05/02/2021,https://patents.google.com/patent/CN107078910B/en,https://patentimages.storage.googleapis.com/06/ea/52/3130d4185a986b/HDA0001274160660000011.png
CN-107566116-B,Method and apparatus for digital asset weight registration ,,,15/06/2017,15/06/2017,02/07/2021,02/07/2021,https://patents.google.com/patent/CN107566116B/en,https://patentimages.storage.googleapis.com/9b/56/31/9d5c1ffff4ee40/869244.png
CN-109246179-B,"Method and apparatus for maintaining blockchain, server, and computer-readable storage medium ",,,30/06/2018,20/07/2018,01/06/2021,01/06/2021,https://patents.google.com/patent/CN109246179B/en,https://patentimages.storage.googleapis.com/19/32/2d/5d5ea040404a3a/HDA0001738313390000011.png
CN-105976232-B,Asset transaction method and device ,,,24/06/2016,24/06/2016,28/04/2020,28/04/2020,https://patents.google.com/patent/CN105976232B/en,https://patentimages.storage.googleapis.com/12/ae/ec/7c61fedc8dbc7a/HDA0001029237860000011.png
CN-109845188-B,Secure handling of an attestation request ,,,24/08/2016,04/07/2017,27/05/2022,27/05/2022,https://patents.google.com/patent/CN109845188B/en,https://patentimages.storage.googleapis.com/67/18/e7/be93f7b59e0fc9/128643.png
CN-107438002-B,Block chain based system and electronic device and method in system ,,,27/05/2016,27/05/2016,11/02/2022,11/02/2022,https://patents.google.com/patent/CN107438002B/en,https://patentimages.storage.googleapis.com/76/f1/f3/5d69b6c4838941/HDA0001002142100000011.png
CN-107851281-B,System and method for fraud control for blockchain based transactions ,,,21/05/2015,06/05/2016,23/07/2021,23/07/2021,https://patents.google.com/patent/CN107851281B/en,https://patentimages.storage.googleapis.com/4f/e5/7a/73500e9c44f059/HDA0001554403630000011.png
CN-107851245-B,Method and system for associating blockchain-based assets to fiat currency accounts ,,,21/05/2015,06/05/2016,30/07/2021,30/07/2021,https://patents.google.com/patent/CN107851245B/en,https://patentimages.storage.googleapis.com/f1/c7/45/79a19f27ee9b3b/HDA0001554295600000011.png
